,Symbol,api_industry
1096,MTB,financial markets
1097,MTDR,energy_transportation
1098,MTG,financial_markets
1099,MTH,real_estate
1100,MTN,retail_wholesale
1101,MTR,energy_transportation
1102,MTRN,manufacturing
1103,MTW,real_estate
1104,MTX,life_sciences
1105,MTZ,real_estate
1106,MUA,finance
1107,MUC,finance
1108,MUE,finance
1109,MUI,finance
1110,MUJ,finance
1111,MUR,energy_transportation
1112,MUSA,retail_wholesale
1113,MVF,finance
1114,MVO,energy_transportation
1115,MVT,finance
1116,MWA,manufacturing
1117,MXE,finance
1118,MXF,retail_wholesale
1119,MYD,finance
1120,MYE,manufacturing
1121,MYI,finance
1122,MYN,finance
1123,NABL,technology
1124,NAC,finance
1125,NAD,finance
1126,NAN,finance
1127,NAPA,retail_wholesale
1128,NAZ,finance
1129,NBB,finance
1130,NBHC,financial markets
1131,NC,energy_transportation
1132,NCA,finance
1133,NCLH,energy_transportation
1134,NCR,retail_wholesale
1135,NCV,finance
1136,NCZ,finance
1137,NDP,finance
1138,NEA,finance
1139,NEE,technology
1140,NEM,manufacturing
1141,NEP,energy_transportation
1142,NET,technology
1143,NEU,life_sciences
1144,NEWR,technology
1145,NFG,energy_transportation
1146,NFJ,finance
1147,NGL,energy_transportation
1148,NGS,energy_transportation
1149,NGVC,retail_wholesale
1150,NGVT,life_sciences
1151,NHI,real_estate
1152,NI,energy_transportation
1153,NIC,financial markets
1154,NIE,finance
1155,NIM,retail_wholesale
1156,NIMC,energy_transportation
1157,NINE,energy_transportation
1158,NIO,finance
1159,NJR,energy_transportation
1160,NKE,manufacturing
1161,NKX,finance
1162,NL,life_sciences
1163,NLS,retail_wholesale
1164,NLY,real_estate
1165,NMI,retail_wholesale
1166,NMS,finance
1167,NMT,finance
1168,NMZ,finance
1169,NNI,finance
1170,NNN,real_estate
1171,NNY,finance
1172,NOC,manufacturing
1173,NOG,energy_transportation
1174,NOM,finance
1175,NOTE,technology
1176,NOV,manufacturing
1177,NOVA,energy_transportation
1178,NOW,technology
1179,NPK,manufacturing
1180,NPO,manufacturing
1181,NPV,finance
1182,NQP,retail_wholesale
1183,NR,manufacturing
1184,NRDY,technology
1185,NREF,real_estate
1186,NRG,energy_transportation
1187,NRGV,manufacturing
1188,NRK,retail_wholesale
1189,NRP,energy_transportation
1190,NRT,energy_transportation
1191,NRUC,financial_markets
1192,NS,energy_transportation
1193,NSA,real_estate
1194,NSC,energy_transportation
1195,NSP,technology
1196,NSS,energy_transportation
